Position,Connected On
Founder and Coordinator,07-Dec-18
Applied Data Scientist,07-Dec-18
MIT AI-Machine Learning Executive Guide: Strategy to Execution Leader: AI-ML-DL-NLP-RPA-Robotics,07-Dec-18
"Analyst, Research and Development",07-Dec-18
Freelance IT-Recruiter,07-Dec-18
"Software Engineer, Site Reliability Engineer",07-Dec-18
Solution Architect,07-Dec-18
Senior Software Engineer / SRE,07-Dec-18
Software Engineer at Pochtatech,07-Dec-18
HR Manager,07-Dec-18
Head of IT Recruitment,07-Dec-18
Research Engineer (Deep Learning),07-Dec-18
Lead Data Scientist,07-Dec-18
Digital Marketer,07-Dec-18
Data Scientist,07-Dec-18
Python Software Engineer ,07-Dec-18
ML Developer,07-Dec-18
Senior Research Engineer,07-Dec-18
Principal Machine Learning Engineer,07-Dec-18
Data Scientist,07-Dec-18
Software Engineer,07-Dec-18
Senior Data Scientist,07-Dec-18
Recruiter,07-Dec-18
Менеджер по персоналу,07-Dec-18
Project Manager,07-Dec-18
Data Scientist,07-Dec-18
Engineer,07-Dec-18
Computer Vision Engineer,07-Dec-18
,07-Dec-18
Analyst,07-Dec-18
Data Scientist,07-Dec-18
Sr. Engineering & Data Science Manager,07-Dec-18
Sr Test Automation Engineer,07-Dec-18
"Data Scientist, Fellow",07-Dec-18
Data Scientist,07-Dec-18
Senior Data Scientist,07-Dec-18
Member Technical Staff,06-Dec-18
Lead Data Scientist,06-Dec-18
Sr. Design,06-Dec-18
summer trainee,06-Dec-18
Software Engineering Intern,06-Dec-18
Recruiting Manager,06-Dec-18
Machine Learning Practice Lead,06-Dec-18
Research Assistant at Schizophrenia and cognition lab,06-Dec-18
Associate Data Scientist,06-Dec-18
Product Specialist,06-Dec-18
HR Head-India Operations ,06-Dec-18
Machine Learning Engineer-|||,06-Dec-18
Junior Data Scientist,06-Dec-18
Senior Data Scientist,06-Dec-18
Software Engineer,06-Dec-18
Sr Data Science Manager @ Data Science Elite Team,06-Dec-18
Software Engineer,06-Dec-18
Team Lead,05-Dec-18
Software Engineer,05-Dec-18
Data Scientist,05-Dec-18
Data scientist,05-Dec-18
Software Engineer,05-Dec-18
Test Engineer,05-Dec-18
Senior Analyst/Product Manager,05-Dec-18
Senior Data Scientist — Copilot AI,05-Dec-18
Team Lead,05-Dec-18
Technical Recruiter,05-Dec-18
Director,05-Dec-18
Head Of Engineering,05-Dec-18
Machine Learning Engineer,05-Dec-18
Senior Software Engineer,05-Dec-18
Data Engineer,05-Dec-18
Senior Machine Learning Engineer,05-Dec-18
Data Scientist,05-Dec-18
"Python, Machine Learning ",05-Dec-18
Diversity Hiring Lead,05-Dec-18
Engineer,05-Dec-18
Founder,05-Dec-18
Senior Expert Data Scientist,05-Dec-18
Chief Algorithms Officer Emeritus,05-Dec-18
Principal Data Scientist,05-Dec-18
CEO,05-Dec-18
Director,05-Dec-18
Investor,05-Dec-18
Associate SDE,05-Dec-18
Lead IT Recruiter,05-Dec-18
CEO & Co-founder,05-Dec-18
Gordon McKay Professor of Computer Science and Director CRCS Center,05-Dec-18
Software Engineer,05-Dec-18
Lead Software Engineer,05-Dec-18
Applied Researcher-1,05-Dec-18
Python Developer,05-Dec-18
Research team lead,05-Dec-18
Software Developer 2,05-Dec-18
Machine Learning Engineer,05-Dec-18
Software Development Engineer ,05-Dec-18
Senior Software Engineer,05-Dec-18
Lead Software Development Engineer,05-Dec-18
Software Engineer,05-Dec-18
Data Science Engineer,05-Dec-18
Data Engineering Team Lead,05-Dec-18
Lead Data Scientist,05-Dec-18
Founder and CEO,05-Dec-18
Software Development Engineer,05-Dec-18
"Science and Engineering Manager, Applied Machine Learning",04-Dec-18
Principal Architect and Founder,04-Dec-18
Founder,04-Dec-18
Data Science Intern,04-Dec-18
Software Development Engineer,04-Dec-18
Team Lead,04-Dec-18
Senior Data Analyst,04-Dec-18
Marketer Analyst,04-Dec-18
Data Scientist,04-Dec-18
Software Development Engineer,04-Dec-18
Chief Data Officer,04-Dec-18
"Manager, Analytics and Data Science",04-Dec-18
Business Owner,04-Dec-18
Lead Java Software Engineer,04-Dec-18
"Software Engineer, Machine Learning",04-Dec-18
"Business Analyst, Risk Management",04-Dec-18
Business Analyst,04-Dec-18
Founder & Lead Data Scientist,04-Dec-18
Cientista de dados Pl.,04-Dec-18
Ratings and Research Support Analyst,04-Dec-18
Data Engineer,04-Dec-18
Data Analyst,04-Dec-18
HFT Research,04-Dec-18
Senior System Developer,04-Dec-18
Software Engineer,04-Dec-18
Senior Technical Recruiter,04-Dec-18
Co-founder & CTO,04-Dec-18
HR Generalist BP @ Arlo,04-Dec-18
Demo Engineer,04-Dec-18
HR Manager,04-Dec-18
Lead programmer,04-Dec-18
Talent Acquistion,04-Dec-18
Software Engineer,04-Dec-18
Executive IT - Big Data Centre Advance Analytics,04-Dec-18
Senior Drupal Developer,04-Dec-18
Data Scientist,04-Dec-18
Distribution Systems Tech Lead,04-Dec-18
Data Scientist,04-Dec-18
Computer Vision Researcher,04-Dec-18
SR. Resourcing and Operations,04-Dec-18
"Co-Founder, CEO",04-Dec-18
Teaching Assistant,04-Dec-18
Data Scientist | Machine Learning Engineer,04-Dec-18
AI Research Intern,04-Dec-18
Machine Learning Freelancer,04-Dec-18
Software Engineer,04-Dec-18
Instructor,04-Dec-18
Python Developer,04-Dec-18
Senior Software/Machine Learning Engineer,04-Dec-18
Operational Specialist,04-Dec-18
Data Scientist,04-Dec-18
Data Scientist,03-Dec-18
Teaching Assistant,03-Dec-18
Back End Developer,03-Dec-18
Data Scientist,03-Dec-18
Competitive Data Scientist,03-Dec-18
Senior Software Engineer,03-Dec-18
Human Resources Executive,03-Dec-18
"Senior developer, project manager",03-Dec-18
Associate Engineer,03-Dec-18
Head Of Technology,03-Dec-18
Senior Recruitment Specialist,03-Dec-18
Sr. Analytics Recruiter,03-Dec-18
Software Engineer,02-Dec-18
Tennis Instructor,02-Dec-18
Senior Analyst - Data Engineering,02-Dec-18
Senior System Engineer,02-Dec-18
Senior Software Engineer,02-Dec-18
Software Engineering Virtual experience Trough Insidesherpa,02-Dec-18
Senior Web Developer,01-Dec-18
Test Analyst,01-Dec-18
Analytics Consultant,01-Dec-18
Data Science Instructor,01-Dec-18
Senior Data Scientist,01-Dec-18
Data Scientist,01-Dec-18
Open Source Software Developer,01-Dec-18
Marketing Strategist and Analysis,01-Dec-18
Machine Learning Engineer ,01-Dec-18
Senior Executive - Marketing and Partnerships,01-Dec-18
Information Technology Associate,30-Nov-18
AI Researcher,30-Nov-18
Systems Engineer (Digital) ,30-Nov-18
,30-Nov-18
Talend Developer- Research and Innovation,30-Nov-18
Data-Journalist,29-Nov-18
,29-Nov-18
Специалист по подбору персонала,29-Nov-18
DSP Engineer,28-Nov-18
Enabling Bespoke Solutions that impact Workforce and EVP,28-Nov-18
Instructional Assistant (IA),28-Nov-18
Sr Data/Business Analyst,28-Nov-18
Executive Officer,28-Nov-18
Software Engineer,28-Nov-18
Bachelor Thesis,28-Nov-18
Business Analyst,28-Nov-18
Senior Engineer - Deep Learning,28-Nov-18
Lead Data Scientist,28-Nov-18
Technical Lead,27-Nov-18
Computer Science Student,27-Nov-18
Praktikant MI Project,27-Nov-18
Software/Data Engineer II,26-Nov-18
Consultant,26-Nov-18
Research Engineer,26-Nov-18
Software Engineer,26-Nov-18
Content Co-Head Alumni Committee,26-Nov-18
Java Software Engineer,26-Nov-18
Java Developer,26-Nov-18
Research Scholar,25-Nov-18
Senior Data Engineer,25-Nov-18
Undergraduate Teaching Assistant,25-Nov-18
Machine Learning Intern,25-Nov-18
"Founder, CEO",25-Nov-18
Data Analyst,25-Nov-18
Software Engineer,25-Nov-18
Software Development Engineer II,25-Nov-18
Chief Technology Officer,25-Nov-18
Python Backend Developer,24-Nov-18
Research Intern,24-Nov-18
Software Trainee,24-Nov-18
Career Prep Fellow,24-Nov-18
"Senior Software Engineer, Site Reliability Engineering",24-Nov-18
Ведущий инженер строитель,24-Nov-18
Product&Project Manager,24-Nov-18
Business Analyst,24-Nov-18
Backend Software Developer,24-Nov-18
Deep Learning Engineer,24-Nov-18
Data Scientist,23-Nov-18
"Sr. Director and Head, Technology Strategy & Business Operations; and Chief of Staff",23-Nov-18
Team Lead,23-Nov-18
Founder & Pack Leader,23-Nov-18
Sr. Video Solutions Engineer,23-Nov-18
Senior Software Engineer,22-Nov-18
Head of Machine Learning,22-Nov-18
Staffing Business Partner,22-Nov-18
Data Science Specialist,21-Nov-18
Data Scientist - I,21-Nov-18
Data Engineer,21-Nov-18
AI Project Lead,21-Nov-18
Sr. Key Account Manager,21-Nov-18
Search Engine Optimization Specialist,21-Nov-18
"Software Engineer, Site Reliability Engineering",21-Nov-18
Institute Student Mentor,21-Nov-18
HR Specialist,21-Nov-18
Computer Vision Developer (Independent Contractor),20-Nov-18
DevOps Engineer,20-Nov-18
Consultant,20-Nov-18
Engineering Technologist,20-Nov-18
Senior Software Quality Assurance,20-Nov-18
Machine Learning Researcher,20-Nov-18
VP - Physical-Digital Technologies,20-Nov-18
Senior Computer Vision Engineer,20-Nov-18
Senior Software Engineer,19-Nov-18
Freelance,19-Nov-18
,19-Nov-18
CTO,19-Nov-18
5S System Implementation (industrial project),19-Nov-18
VP Engineering - Processing & Switching at Flutterwave,19-Nov-18
,19-Nov-18
Founder & CEO of Vue.ai,19-Nov-18
Senior Consultant/Data Scientist,19-Nov-18
Software Engineer,19-Nov-18
Team Lead,19-Nov-18
Senior Android Developer,19-Nov-18
Founder,19-Nov-18
Head Of Information Technology,19-Nov-18
"Manager, AI Innovation",19-Nov-18
Software Engineer,19-Nov-18
Data Science Course Tutor,19-Nov-18
Backend Engineer,19-Nov-18
Data Science Intern,19-Nov-18
Senior Software Engineer,19-Nov-18
Business Development Manager  (Team Leader),19-Nov-18
President,18-Nov-18
Senior Software Engineer,18-Nov-18
Machine Learning Research Engineer,18-Nov-18
Artificial Intelligence Specialist,18-Nov-18
Senior Software Engineer,18-Nov-18
Quantitative Research Analyst,18-Nov-18
Vice President,18-Nov-18
Software Engineer,18-Nov-18
Mortgage Strats Analyst,17-Nov-18
Sr. Manager - Digital Business ,17-Nov-18
Analyst,17-Nov-18
Business Analyst - Credit and Fraud Risk,17-Nov-18
Email Marketing Executive,17-Nov-18
Data Analyst,17-Nov-18
Division Manager - Data Analytics,17-Nov-18
Course Facilitator,17-Nov-18
DS Team Lead,16-Nov-18
,16-Nov-18
Creative Follower,16-Nov-18
Development Architect,16-Nov-18
"Machine Learning Engineer, Co-founder",16-Nov-18
Software Developer,16-Nov-18
NLP Research Engineer,16-Nov-18
Software Developer,16-Nov-18
Chief Customer Success Officer,16-Nov-18
Core Team Member,16-Nov-18
Digital Marketing Executive,16-Nov-18
Senior Associate,16-Nov-18
Product Manager Intern ,15-Nov-18
Machine Learning Engineer,15-Nov-18
Research Assistant,15-Nov-18
Software Engineer,15-Nov-18
Talent Acquisition Manager,15-Nov-18
Director-Global Sales & Channel,15-Nov-18
Business Analyst,15-Nov-18
Data Scientist,15-Nov-18
Managing Director,15-Nov-18
Artificial Intelligence Engineer,15-Nov-18
Head of Data Mining Analysis,14-Nov-18
System Engineer,14-Nov-18
Information Communication Analyst,14-Nov-18
,14-Nov-18
CEO at Cloud-Native,14-Nov-18
Data Analyst/Scientist,13-Nov-18
R&D Engineer Autonomous Driving,13-Nov-18
разработчик,13-Nov-18
Specialist,13-Nov-18
Technical Recruitment Specilaist,13-Nov-18
Robotic Process Automation|Blockchain|Artificial Intelligence|Data Analytics| Machine Learning,13-Nov-18
Data Scientist,13-Nov-18
Supervisor IT & Programmer,13-Nov-18
Frontend Web Developer,13-Nov-18
Lead Infrastructure Engineer,13-Nov-18
,12-Nov-18
Advanced Analyst,11-Nov-18
Data Scientist,11-Nov-18
Co-Founder,11-Nov-18
CTO & Founder,10-Nov-18
Data Scientist,10-Nov-18
Software Development Manager,10-Nov-18
Teamcenter Technical Consultant at Mahindra and Mahindra,10-Nov-18
Assistant System Engineer,09-Nov-18
Professional,09-Nov-18
Team Leader,09-Nov-18
Senior Talent Acquisition Specialist,09-Nov-18
Senior Consultant,08-Nov-18
Junior Research Engineer,08-Nov-18
Computer vision engineer,08-Nov-18
Python Developer,08-Nov-18
UI/UX Designer | Laboratory for Playful Computation,08-Nov-18
Talent Acquisition Specialist,08-Nov-18
Team Lead / Sr.Software Engineer,08-Nov-18
Manager,08-Nov-18
Undergraduate Researcher,08-Nov-18
Intern,08-Nov-18
Data Science Senior Manager,08-Nov-18
,08-Nov-18
HR Manager,08-Nov-18
IT Recruitment Consultant,08-Nov-18
Senior Analyst,08-Nov-18
Machine Learning Graduate Research Fellow,08-Nov-18
Data Scientist,08-Nov-18
Software Developer,08-Nov-18
ML/AI/Deep Learning Engineer,07-Nov-18
Lead Data Scientist | Product Owner,07-Nov-18
IT-Recruiter,07-Nov-18
Senior Software Developer,07-Nov-18
IBM Z Software Engineer ,07-Nov-18
Data Scientist,07-Nov-18
Data Scientist,07-Nov-18
Research Assistant,07-Nov-18
Intern,06-Nov-18
,06-Nov-18
Senior Associate Decision Science,06-Nov-18
Product Associate,06-Nov-18
ML Engineering Intern,06-Nov-18
Wordpress/PHP Developer at CYPURS,06-Nov-18
Senior Data Scientist | AI Solutions Architect,06-Nov-18
Data Scientist,05-Nov-18
Senior Data Engineer,05-Nov-18
Data Scientist,05-Nov-18
Machine Learning Engineer,05-Nov-18
Software Engineer,05-Nov-18
Software Engineer,05-Nov-18
Google Summer of Code Student Developer 2020 ,05-Nov-18
OLT Instructor,05-Nov-18
Machine Learning Engineer,05-Nov-18
Web Development Intern,05-Nov-18
Lead Engineer (Payouts),05-Nov-18
Researcher in Machine Learning and Optimization ,05-Nov-18
Data Scientist & Researcher,05-Nov-18
,05-Nov-18
Senior Atmospheric Data Scientist,05-Nov-18
Data Scientist II,05-Nov-18
Associate Principal Data Scientist,05-Nov-18
Product Owner,05-Nov-18
Software Engineer,05-Nov-18
Python Developer,05-Nov-18
"Co-Founder, CTO",04-Nov-18
Executive Communications Manager,04-Nov-18
India Head - AI & Machine Learning,04-Nov-18
,03-Nov-18
Software Development Engineer (Full Stack),03-Nov-18
Data Scientist,03-Nov-18
Front-End Web Developer,03-Nov-18
"Security Solution Architect at PC-Integral, INC",03-Nov-18
Machine Learning Data Analyst,03-Nov-18
"Head of Engineering and Operations, Cloud, Reliance Jio",03-Nov-18
Cloud Support Associate - l  (Deployment),02-Nov-18
,02-Nov-18
Data Scientist / Data Science Developer,02-Nov-18
Big Data Consultant,02-Nov-18
Staff Software Engineer,02-Nov-18
Business Intelligence Developer,02-Nov-18
Deep learning and Robotics Training Internship,02-Nov-18
Director- Head of Big Data and Machine Learning - APAC,02-Nov-18
Senior Machine Learning Engineer,02-Nov-18
Founder & CTO,02-Nov-18
Co-Founder,02-Nov-18
Senior Research Fellow,01-Nov-18
Data Scientist,01-Nov-18
Software Engineer,01-Nov-18
,01-Nov-18
Full Stack Engineer,01-Nov-18
Teaching Assistant,01-Nov-18
Software Engineer,01-Nov-18
,01-Nov-18
Software Engineer,01-Nov-18
Summer Intern,01-Nov-18
,01-Nov-18
Computer Vision Intern,01-Nov-18
Business Analyst,01-Nov-18
,01-Nov-18
Machine Learning Specialist/Co Founder,01-Nov-18
Project Instructor ,31-Oct-18
Director - Solution Architect & Engg.,31-Oct-18
TRAINEE SYSTEM ENGINEER,31-Oct-18
Lead Technology Recruiter,31-Oct-18
Associate at McCarthy Lab,31-Oct-18
Data Analyst,31-Oct-18
Data Scientist - Cognitive Computing,31-Oct-18
NLP Engineer ,31-Oct-18
Research Intern,31-Oct-18
Associate Infra Ops Engineering Analyst,31-Oct-18
Chief Data Scientist,31-Oct-18
Managing Director,31-Oct-18
Business Development Manager,31-Oct-18
Information Executive,31-Oct-18
,31-Oct-18
Data Scientist,31-Oct-18
Research Manager,31-Oct-18
Machine Learning Specialist,31-Oct-18
Chief Executive Officer and Innovation Director,31-Oct-18
Software Developer (Data Science),31-Oct-18
Associate Data Analyst,31-Oct-18
Ruby on Rails Developer (Backend),31-Oct-18
Senior Software Engineer,31-Oct-18
Analytical Consultant,30-Oct-18
"CPO, Big Data",30-Oct-18
Technical Support Engineer,30-Oct-18
Technical Support Engineer,30-Oct-18
Human Resources Manager,30-Oct-18
Senior Engineer,30-Oct-18
Analista de Sistemas,30-Oct-18
Full Stack Developer Intern,30-Oct-18
Knowlege Management Officer,30-Oct-18
Machine Learning Researcher,30-Oct-18
Authorized Officer,30-Oct-18
Associate Global Strategy & Corporate Development,30-Oct-18
Business Development Executive,30-Oct-18
Founder,30-Oct-18
Manager - TA / Technology Evangelist,30-Oct-18
Head Of Operations,30-Oct-18
Chief Strategist and Investor,30-Oct-18
Associate Data Scientist ,30-Oct-18
Software Engineer,30-Oct-18
"Technology Specialist , Chief Technology Officer , CTO",30-Oct-18
Data Science Associate,30-Oct-18
Senior Research Analyst,30-Oct-18
Data Engineer/ Scientist,30-Oct-18
,30-Oct-18
Recruiter,30-Oct-18
Data Analyst,30-Oct-18
Senior Data Scientist,30-Oct-18
Senior Data Engineer,29-Oct-18
Electrical Engineer,29-Oct-18
Senior Associate Consultant,29-Oct-18
Technical Program Manager,29-Oct-18
Senior Business Developer,29-Oct-18
Председатель наблюдательного совета,29-Oct-18
Digital Marketing Manager,29-Oct-18
student,29-Oct-18
Co-Founder,29-Oct-18
Data Scientist 1,29-Oct-18
Chief of Staff,29-Oct-18
R&D Intern,29-Oct-18
CMO and Robotiscist ,29-Oct-18
Data Scientist,29-Oct-18
Supply Chain Manager,29-Oct-18
Human Resource Business Partner,29-Oct-18
Order Management Analyst,29-Oct-18
Technical Advisor (Smart Factory Senior Engineer),29-Oct-18
Lead Specialist,29-Oct-18
Application Development Analyst,29-Oct-18
Cloud Consultant - ||,29-Oct-18
,29-Oct-18
Senior Business Analyst | TMT,29-Oct-18
Data Engineering Talent Specialist ,29-Oct-18
Specialist - Analytics (Lead),29-Oct-18
Cofounder,29-Oct-18
Information Technology Coordinator,28-Oct-18
Associate Business Analyst,28-Oct-18
Data Scientist,28-Oct-18
Blogger,28-Oct-18
,28-Oct-18
Investment Data Jr Analyst,28-Oct-18
Team Lead,28-Oct-18
Machine Learning Engineer,28-Oct-18
Member at Google Developer Group ,28-Oct-18
Senior Associate,28-Oct-18
,28-Oct-18
Jr. Consultant - IT,28-Oct-18
Director,28-Oct-18
Machine Learning Engineer,28-Oct-18
Data Scientist,28-Oct-18
,28-Oct-18
Project Engineer,28-Oct-18
Chief Technology Officer,27-Oct-18
Intern,27-Oct-18
IIoT Developer,27-Oct-18
Chief Of Development,27-Oct-18
Associate Software Engineer,27-Oct-18
